City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,Arraial Do Cabo,-22.9661,-42.0278,75.0,85,0,5.91,BR,2023-01-26 01:10:27
287,Panguna,-6.3164,155.4848,79.32,66,52,4.65,PG,2023-01-26 01:11:12
288,Ambilobe,-13.2,49.05,72.82,96,88,2.3,MG,2023-01-26 01:11:12
289,Teahupoo,-17.8333,-149.2667,82.36,84,20,18.81,PF,2023-01-26 01:11:13
290,Sampit,-2.5333,112.95,75.92,95,100,2.84,ID,2023-01-26 01:11:13
291,Amparafaravola,-17.5833,48.2167,66.02,96,100,3.18,MG,2023-01-26 01:11:14
292,Helong,42.5397,128.9972,11.71,69,100,6.15,CN,2023-01-26 01:11:14
293,Olinda,-8.0089,-34.8553,80.33,69,75,6.91,BR,2023-01-26 01:11:15
294,Grants Pass,42.439,-123.3284,53.11,80,0,0.0,US,2023-01-26 01:10:23
295,Koutsouras,35.0339,25.9469,54.1,80,53,7.05,GR,2023-01-26 01:11:15
296,Coelho Neto,-4.2567,-43.0128,72.14,99,100,3.0,BR,2023-01-26 01:09:55
